

Seed ARG:  0
Iteration 0:  TOKYO, 2008 
Iteration 1:  TOKYO, 2003 
Iteration 2:  TOKYO, 2008 
Iteration 3:  TOKYO, 2002 
Iteration 4:  TOKYO, 2003 
Iteration 5:  TOKYO, 2009 
Iteration 6:  TOKYO, 2007 
Iteration 7:  TOKYO, 2000 
Iteration 8:  TOKYO, 2007 
Iteration 9:  TOKYO, 2007 
Iteration 10:  TOKYO, 2000 
Iteration 11:  TOKYO, 2007 
Iteration 12:  TOKYO, 2000 
Iteration 13:  TOKYO, 2007 
Iteration 14:  TOKYO, 2009 
Iteration 15:  TOKYO, 2001 
Iteration 16:  TOKYO, 2009 
Iteration 17:  TOKYO, 2007 
Iteration 18:  TOKYO, 2000 
Iteration 19:  TOKYO, 2000 
Iteration 20:  TOKYO, 2004 
Iteration 21:  TOKYO, 2008 
Iteration 22:  TOKYO, 2004 
Iteration 23:  TOKYO, 2006 
Iteration 24:  TOKYO, 2007 
Iteration 25:  TOKYO, 2003 
Iteration 26:  TOKYO, 2005 
Iteration 27:  TOKYO, 2007 
Iteration 28:  TOKYO, 2008 
Iteration 29:  TOKYO, 2004 
Iteration 30:  TOKYO, 2006 
Iteration 31:  TOKYO, 2002 
Iteration 32:  TOKYO, 2007 
Iteration 33:  TOKYO, 2000 
Iteration 34:  TOKYO, 2007 
Iteration 35:  TOKYO, 2002 
Iteration 36:  TOKYO, 2003 
Iteration 37:  TOKYO, 2006 
Iteration 38:  TOKYO, 2004 
Iteration 39:  TOKYO, 2008 
Iteration 40:  TOKYO, 2006 
Iteration 41:  TOKYO, 2000 
Iteration 42:  TOKYO, 2000 
Iteration 43:  TOKYO, 2004 
Iteration 44:  TOKYO, 2008 
Iteration 45:  TOKYO, 2007 
Iteration 46:  TOKYO, 2009 
Iteration 47:  TOKYO, 2003 
Iteration 48:  TOKYO, 2007 
Iteration 49:  TOKYO, 2009 
Train time: 0:12:59.256763
YEAR	AVG_RWD		VIOLATIONS
			DAY	BATT
2000	 1.38		0	 0
2001	 1.4		0	 0
2002	 1.32		0	 0
2003	 1.33		1	 0
2004	 1.34		0	 0
2005	 1.37		0	 0
2006	 1.37		0	 0
2007	 1.37		0	 0
2008	 1.35		0	 0
2009	 1.37		0	 0
2010	 1.36		0	 0
2011	 1.36		0	 0
2012	 1.35		0	 0
2013	 1.37		0	 0
2014	 1.36		0	 0
2015	 1.37		0	 0
2016	 1.39		0	 0
2017	 1.36		0	 0

TOTAL Day Violations:   1.0
TOTAL Batt Violations:  0.0
Run time: 0:13:36.700014




Seed ARG:  1
Iteration 0:  TOKYO, 2003 
Iteration 1:  TOKYO, 2007 
Iteration 2:  TOKYO, 2001 
Iteration 3:  TOKYO, 2002 
Iteration 4:  TOKYO, 2000 
Iteration 5:  TOKYO, 2004 
Iteration 6:  TOKYO, 2003 
Iteration 7:  TOKYO, 2006 
Iteration 8:  TOKYO, 2003 
Iteration 9:  TOKYO, 2006 
Iteration 10:  TOKYO, 2008 
Iteration 11:  TOKYO, 2007 
Iteration 12:  TOKYO, 2000 
Iteration 13:  TOKYO, 2002 
Iteration 14:  TOKYO, 2002 
Iteration 15:  TOKYO, 2001 
Iteration 16:  TOKYO, 2003 
Iteration 17:  TOKYO, 2000 
Iteration 18:  TOKYO, 2003 
Iteration 19:  TOKYO, 2009 
Iteration 20:  TOKYO, 2004 
Iteration 21:  TOKYO, 2000 
Iteration 22:  TOKYO, 2003 
Iteration 23:  TOKYO, 2002 
Iteration 24:  TOKYO, 2005 
Iteration 25:  TOKYO, 2005 
Iteration 26:  TOKYO, 2005 
Iteration 27:  TOKYO, 2008 
Iteration 28:  TOKYO, 2009 
Iteration 29:  TOKYO, 2003 
Iteration 30:  TOKYO, 2009 
Iteration 31:  TOKYO, 2005 
Iteration 32:  TOKYO, 2006 
Iteration 33:  TOKYO, 2008 
Iteration 34:  TOKYO, 2007 
Iteration 35:  TOKYO, 2002 
Iteration 36:  TOKYO, 2007 
Iteration 37:  TOKYO, 2000 
Iteration 38:  TOKYO, 2007 
Iteration 39:  TOKYO, 2009 
Iteration 40:  TOKYO, 2005 
Iteration 41:  TOKYO, 2008 
Iteration 42:  TOKYO, 2003 
Iteration 43:  TOKYO, 2005 
Iteration 44:  TOKYO, 2008 
Iteration 45:  TOKYO, 2000 
Iteration 46:  TOKYO, 2001 
Iteration 47:  TOKYO, 2007 
Iteration 48:  TOKYO, 2006 
Iteration 49:  TOKYO, 2009 
Train time: 0:12:56.957959
YEAR	AVG_RWD		VIOLATIONS
			DAY	BATT
2000	 1.36		3	 0
2001	 1.34		5	 0
2002	 1.31		5	 1
2003	 1.37		3	 0
2004	 1.26		10	 7
2005	 1.35		4	 0
2006	 1.39		2	 0
2007	 1.31		7	 2
2008	 1.34		5	 0
2009	 1.37		2	 0
2010	 1.31		6	 3
